x,y,z,scl1
1.7375,0.0625,-0.16249999,1.0
1.7625,0.0625,-0.16249999,1.0
1.7874999,0.0625,-0.16249999,1.0
1.8125,0.0625,-0.16249999,1.0
1.8375001,0.0625,-0.16249999,1.0
1.8625,0.0625,-0.16249999,1.0
1.8875,0.0625,-0.16249999,1.0
1.9124999,0.0625,-0.16249999,1.0
1.9375,0.0625,-0.16249999,1.0
1.9625001,0.0625,-0.16249999,1.0
1.9875,0.0625,-0.16249999,1.0
2.0125,0.0625,-0.16249999,1.0
-0.0625,0.087500006,-0.16249999,1.0
-0.037500001,0.087500006,-0.16249999,1.0
0.48750001,0.087500006,-0.16249999,1.0
0.51249999,0.087500006,-0.16249999,1.0
0.53750002,0.087500006,-0.16249999,1.0
